resolution,n_domains,NMI,ARI,time_s
-0.1,4,0.7564728360858304,0.6952132975177887,16.94529104232788
-0.3,7,0.7841351907942095,0.8133353519638679,4.7494049072265625
-0.5,9,0.7653674978388381,0.7745251682393217,4.767964839935303
-0.7,10,0.7674709946160619,0.776033958495756,5.245003938674927
-1.0,12,0.7943312234977942,0.8137658929013781,9.487154006958008
-1.5,17,0.7114477676479769,0.47288180911923305,7.3782079219818115
-2.0,20,0.6623353271038873,0.35199667341440005,10.25386905670166
-2.5,27,0.622778726055715,0.2674202104602964,10.789313077926636
